,ARRWU
2021-03-02,10.0
2021-03-03,10.0
2021-03-04,9.979999542236328
2021-03-05,10.100000381469727
2021-03-08,10.0
2021-03-09,10.020000457763672
2021-03-10,10.029999732971191
2021-03-11,10.050000190734863
2021-03-12,10.0600004196167
2021-03-15,10.0
2021-03-16,10.0
2021-03-17,10.0
2021-03-18,9.949999809265137
2021-03-19,9.949999809265137
2021-03-22,9.949999809265137
2021-03-23,9.880000114440918
2021-03-24,9.887999534606934
2021-03-25,9.899999618530273
2021-03-26,9.970000267028809
2021-03-29,9.930000305175781
2021-03-30,9.949999809265137
2021-03-31,9.949999809265137
2021-04-01,9.9399995803833
2021-04-05,9.90999984741211
2021-04-06,9.949999809265137
2021-04-07,9.930000305175781
2021-04-08,9.989999771118164
2021-04-09,10.020000457763672
2021-04-12,10.020000457763672
2021-04-13,10.050000190734863
2021-04-14,10.039999961853027
2021-04-15,9.989999771118164
2021-04-16,10.029999732971191
2021-04-19,10.0
2021-04-20,9.989999771118164
2021-04-21,9.989999771118164
2021-04-22,9.989999771118164
2021-04-23,9.989999771118164
2021-04-26,9.975000381469727
2021-04-27,10.0
2021-04-28,9.979999542236328
2021-04-29,10.0
2021-04-30,9.960000038146973
2021-05-03,9.960000038146973
2021-05-04,9.989999771118164
2021-05-05,9.989999771118164
2021-05-06,9.989999771118164
2021-05-07,9.989999771118164
2021-05-10,10.0
2021-05-11,9.979999542236328
2021-05-12,10.0
2021-05-13,9.989999771118164
2021-05-14,9.989999771118164
