,EVOJU
2021-02-09,10.300000190734863
2021-02-10,10.300000190734863
2021-02-11,10.300000190734863
2021-02-12,10.279999732971191
2021-02-16,10.270000457763672
2021-02-17,10.260000228881836
2021-02-18,10.300000190734863
2021-02-19,10.300000190734863
2021-02-22,10.279999732971191
2021-02-23,10.270000457763672
2021-02-24,10.25
2021-02-25,10.1899995803833
2021-02-26,10.050999641418457
2021-03-01,10.100000381469727
2021-03-02,10.0
2021-03-03,10.050000190734863
2021-03-04,9.960000038146973
2021-03-05,10.100000381469727
2021-03-08,10.0600004196167
2021-03-09,10.039999961853027
2021-03-10,10.020000457763672
2021-03-11,10.012999534606934
2021-03-12,9.979999542236328
2021-03-15,9.960000038146973
2021-03-16,9.979999542236328
2021-03-17,9.9399995803833
2021-03-18,9.9399995803833
2021-03-19,9.949999809265137
2021-03-22,9.920000076293945
2021-03-23,9.819999694824219
2021-03-24,9.84000015258789
2021-03-25,9.850000381469727
2021-03-26,9.920000076293945
2021-03-29,9.930000305175781
2021-03-30,9.9399995803833
2021-03-31,9.930000305175781
2021-04-01,9.970000267028809
2021-04-05,9.9399995803833
2021-04-06,9.96500015258789
2021-04-07,10.0
2021-04-08,10.0
2021-04-09,10.0
2021-04-12,9.960000038146973
2021-04-13,9.961999893188477
2021-04-14,10.079999923706055
2021-04-15,10.036999702453613
2021-04-16,10.010000228881836
2021-04-19,10.050000190734863
2021-04-20,10.0
2021-04-21,10.0
2021-04-22,9.989999771118164
2021-04-23,9.989999771118164
2021-04-26,9.994999885559082
2021-04-27,10.0
2021-04-28,10.0
2021-04-29,10.0
2021-04-30,10.0
2021-05-03,10.0
2021-05-04,9.960000038146973
2021-05-05,10.006999969482422
2021-05-06,10.0
2021-05-07,9.979999542236328
2021-05-10,9.989999771118164
2021-05-11,9.989999771118164
2021-05-12,9.960000038146973
2021-05-13,9.960000038146973
2021-05-14,9.960000038146973
