,AGGRU
2021-03-10,9.970000267028809
2021-03-11,9.989999771118164
2021-03-12,10.0
2021-03-15,9.930000305175781
2021-03-16,9.949999809265137
2021-03-17,9.970000267028809
2021-03-18,9.899999618530273
2021-03-19,9.90999984741211
2021-03-22,9.949999809265137
2021-03-23,9.789999961853027
2021-03-24,9.84000015258789
2021-03-25,9.779999732971191
2021-03-26,9.949999809265137
2021-03-29,9.899999618530273
2021-03-30,9.850000381469727
2021-03-31,9.930000305175781
2021-04-01,9.90999984741211
2021-04-05,9.949999809265137
2021-04-06,9.9399995803833
2021-04-07,9.920000076293945
2021-04-08,9.960000038146973
2021-04-09,10.0
2021-04-12,9.989999771118164
2021-04-13,10.0
2021-04-14,9.979999542236328
2021-04-15,10.0
2021-04-16,10.0
2021-04-19,10.020000457763672
2021-04-20,9.989999771118164
2021-04-21,9.989999771118164
2021-04-22,9.970000267028809
2021-04-23,10.0
2021-04-26,10.0
2021-04-27,9.998000144958496
2021-04-28,10.0
2021-04-29,10.0
2021-04-30,9.970000267028809
2021-05-03,9.960000038146973
2021-05-04,9.930000305175781
2021-05-05,9.960000038146973
2021-05-06,9.949999809265137
2021-05-07,9.965999603271484
2021-05-10,9.965999603271484
2021-05-11,10.0
2021-05-12,10.0
2021-05-13,10.0
2021-05-14,9.949999809265137
