,AYLA
2020-05-08,15.029999732971191
2020-05-11,15.149999618530273
2020-05-12,15.0
2020-05-13,15.0
2020-05-14,15.0
2020-05-15,15.0
2020-05-18,15.920000076293945
2020-05-19,15.449999809265137
2020-05-20,15.6899995803833
2020-05-21,15.180000305175781
2020-05-22,15.260000228881836
2020-05-26,15.100000381469727
2020-05-27,15.0600004196167
2020-05-28,15.010000228881836
2020-05-29,15.079999923706055
2020-06-01,15.699999809265137
2020-06-02,15.6899995803833
2020-06-03,15.0
2020-06-04,15.420000076293945
2020-06-05,15.300000190734863
2020-06-08,15.16100025177002
2020-06-09,14.199999809265137
2020-06-10,14.199999809265137
2020-06-11,12.859999656677246
2020-06-12,13.979999542236328
2020-06-15,13.050000190734863
2020-06-16,13.15999984741211
2020-06-17,13.399999618530273
2020-06-18,13.039999961853027
2020-06-19,10.670000076293945
2020-06-22,11.510000228881836
2020-06-23,11.100000381469727
2020-06-24,11.479999542236328
2020-06-25,11.0
2020-06-26,10.0
2020-06-29,10.15999984741211
2020-06-30,10.100000381469727
2020-07-01,10.0
2020-07-02,9.699999809265137
2020-07-06,9.800000190734863
2020-07-07,9.149999618530273
2020-07-08,9.34000015258789
2020-07-09,9.350000381469727
2020-07-10,10.0
2020-07-13,11.039999961853027
2020-07-14,10.539999961853027
2020-07-15,11.460000038146973
2020-07-16,11.65999984741211
2020-07-17,12.5
2020-07-20,12.989999771118164
2020-07-21,12.130000114440918
2020-07-22,12.430000305175781
2020-07-23,12.75
2020-07-24,12.199999809265137
2020-07-27,13.489999771118164
2020-07-28,13.050000190734863
2020-07-29,13.149999618530273
2020-07-30,13.369999885559082
2020-07-31,13.329999923706055
2020-08-03,13.420000076293945
2020-08-04,13.069999694824219
2020-08-05,13.300000190734863
2020-08-06,13.104999542236328
2020-08-07,12.649999618530273
2020-08-10,12.460000038146973
2020-08-11,12.449999809265137
2020-08-12,11.989999771118164
2020-08-13,10.90999984741211
2020-08-14,10.84000015258789
2020-08-17,11.449999809265137
2020-08-18,10.979999542236328
2020-08-19,12.449999809265137
2020-08-20,12.449999809265137
2020-08-21,12.277999877929688
2020-08-24,12.479999542236328
2020-08-25,12.5
2020-08-26,12.149999618530273
2020-08-27,12.159000396728516
2020-08-28,12.020000457763672
2020-08-31,11.850000381469727
2020-09-01,10.699999809265137
2020-09-02,10.050000190734863
2020-09-03,10.0
2020-09-04,8.800000190734863
2020-09-08,8.899999618530273
2020-09-09,10.170000076293945
2020-09-10,9.65999984741211
2020-09-11,9.857000350952148
2020-09-14,10.300000190734863
2020-09-15,11.510000228881836
2020-09-16,12.5600004196167
2020-09-17,14.548999786376953
2020-09-18,13.5
2020-09-21,12.640000343322754
2020-09-22,12.010000228881836
2020-09-23,12.180000305175781
2020-09-24,12.029999732971191
2020-09-25,12.859999656677246
2020-09-28,12.359999656677246
2020-09-29,12.210000038146973
2020-09-30,11.520000457763672
2020-10-01,11.630000114440918
2020-10-02,11.899999618530273
2020-10-05,12.34000015258789
2020-10-06,12.140000343322754
2020-10-07,12.199999809265137
2020-10-08,12.40999984741211
2020-10-09,11.890000343322754
2020-10-12,11.90999984741211
2020-10-13,11.770000457763672
2020-10-14,11.6899995803833
2020-10-15,13.0
2020-10-16,13.149999618530273
2020-10-19,13.199999809265137
2020-10-20,13.25
2020-10-21,13.25
2020-10-22,13.399999618530273
2020-10-23,13.5
2020-10-26,13.300000190734863
2020-10-27,13.270000457763672
2020-10-28,12.8100004196167
2020-10-29,12.65999984741211
2020-10-30,11.390000343322754
2020-11-02,11.25
