,DLCA
2021-03-05,9.760000228881836
2021-03-08,9.829999923706055
2021-03-09,9.8100004196167
2021-03-10,9.8100004196167
2021-03-11,9.850000381469727
2021-03-12,9.770000457763672
2021-03-15,9.760000228881836
2021-03-16,9.770000457763672
2021-03-17,9.829999923706055
2021-03-18,9.8100004196167
2021-03-19,9.770000457763672
2021-03-22,9.8100004196167
2021-03-23,9.765000343322754
2021-03-24,9.739999771118164
2021-03-25,9.6899995803833
2021-03-26,9.739999771118164
2021-03-29,9.670000076293945
2021-03-30,9.75
2021-03-31,9.800000190734863
2021-04-01,9.75
2021-04-05,9.789999961853027
2021-04-06,9.739999771118164
2021-04-07,9.760000228881836
2021-04-08,9.859999656677246
2021-04-09,9.880000114440918
2021-04-12,9.819999694824219
2021-04-13,9.850000381469727
2021-04-14,9.850000381469727
2021-04-15,9.8100004196167
2021-04-16,9.85099983215332
2021-04-19,9.819999694824219
2021-04-20,9.795000076293945
2021-04-21,9.779999732971191
2021-04-22,9.789999961853027
2021-04-23,9.8100004196167
2021-04-26,9.78499984741211
2021-04-27,9.75
2021-04-28,9.75
2021-04-29,9.75
2021-04-30,9.779999732971191
2021-05-03,9.779999732971191
2021-05-04,9.800000190734863
2021-05-05,9.75
2021-05-06,9.75
2021-05-07,9.75
2021-05-10,9.739999771118164
2021-05-11,9.699999809265137
2021-05-12,9.699999809265137
2021-05-13,9.760000228881836
2021-05-14,9.710000038146973
