,ACKIT
2021-02-04,10.199999809265137
2021-02-05,10.210000038146973
2021-02-08,10.170000076293945
2021-02-09,10.149999618530273
2021-02-10,10.220000267028809
2021-02-11,10.199999809265137
2021-02-12,10.220000267028809
2021-02-16,10.210000038146973
2021-02-17,10.20300006866455
2021-02-18,10.170000076293945
2021-02-19,10.199999809265137
2021-02-22,10.149999618530273
2021-02-23,10.1899995803833
2021-02-24,10.239999771118164
2021-02-25,10.208000183105469
2021-02-26,10.100000381469727
2021-03-01,10.079999923706055
2021-03-02,10.005000114440918
2021-03-03,10.015000343322754
2021-03-04,9.899999618530273
2021-03-05,9.899999618530273
2021-03-08,9.949999809265137
2021-03-09,9.949999809265137
2021-03-10,9.956000328063965
2021-03-11,10.0
2021-03-12,9.9399995803833
2021-03-15,9.949999809265137
2021-03-16,9.930000305175781
2021-03-17,9.920000076293945
2021-03-18,9.944999694824219
2021-03-19,9.9399995803833
2021-03-22,9.970000267028809
2021-03-23,9.890000343322754
2021-03-24,9.899999618530273
2021-03-25,9.880000114440918
2021-03-26,9.899999618530273
2021-03-29,9.970000267028809
2021-03-30,9.890000343322754
2021-03-31,9.880000114440918
2021-04-01,9.899999618530273
2021-04-05,9.90999984741211
2021-04-06,9.90999984741211
2021-04-07,9.960000038146973
2021-04-08,9.920000076293945
2021-04-09,9.989999771118164
2021-04-12,9.989999771118164
2021-04-13,10.010000228881836
2021-04-14,9.949999809265137
2021-04-15,9.949999809265137
2021-04-16,9.949999809265137
2021-04-19,9.961000442504883
2021-04-20,9.960000038146973
2021-04-21,9.970000267028809
2021-04-22,9.970000267028809
2021-04-23,9.932999610900879
2021-04-26,9.9399995803833
2021-04-27,9.960000038146973
2021-04-28,9.949999809265137
2021-04-29,9.949999809265137
2021-04-30,9.970000267028809
2021-05-03,9.96500015258789
2021-05-04,9.975000381469727
2021-05-05,9.979999542236328
2021-05-06,9.979999542236328
2021-05-07,9.9399995803833
2021-05-10,9.949999809265137
2021-05-11,9.930000305175781
2021-05-12,9.9350004196167
2021-05-13,9.9399995803833
2021-05-14,9.9399995803833
