,DSACU
2020-10-29,9.819999694824219
2020-10-30,9.800000190734863
2020-11-02,9.850000381469727
2020-11-03,9.864999771118164
2020-11-04,9.899999618530273
2020-11-05,9.899999618530273
2020-11-06,9.890000343322754
2020-11-09,9.904999732971191
2020-11-10,9.930000305175781
2020-11-11,9.920000076293945
2020-11-12,9.930000305175781
2020-11-13,9.946999549865723
2020-11-16,9.899999618530273
2020-11-17,9.9399995803833
2020-11-18,10.0
2020-11-19,10.0
2020-11-20,9.949999809265137
2020-11-23,9.989999771118164
2020-11-24,9.9399995803833
2020-11-25,9.989999771118164
2020-11-27,10.0
2020-11-30,10.0
2020-12-01,9.989999771118164
2020-12-02,10.0
2020-12-03,9.989999771118164
2020-12-04,10.0
2020-12-07,10.020000457763672
2020-12-08,10.109999656677246
2020-12-09,10.270000457763672
2020-12-10,10.399999618530273
2020-12-11,10.399999618530273
2020-12-14,10.279999732971191
2020-12-15,10.390000343322754
2020-12-16,10.5
2020-12-17,10.460000038146973
2020-12-18,10.260000228881836
2020-12-21,10.319999694824219
2020-12-22,10.399999618530273
2020-12-23,10.449999809265137
2020-12-24,10.449999809265137
2020-12-28,10.470000267028809
2020-12-29,10.550000190734863
2020-12-30,10.550000190734863
2020-12-31,10.670000076293945
2021-01-04,10.8100004196167
2021-01-05,10.630000114440918
2021-01-06,10.59000015258789
2021-01-07,10.630000114440918
2021-01-08,11.0
2021-01-11,10.73799991607666
2021-01-12,10.720000267028809
2021-01-13,10.760000228881836
2021-01-14,10.949999809265137
2021-01-15,10.949999809265137
2021-01-19,10.989999771118164
2021-01-20,10.949999809265137
2021-01-21,10.779999732971191
2021-01-22,10.680000305175781
2021-01-25,10.800000190734863
2021-01-26,10.75
2021-01-27,10.819999694824219
2021-01-28,10.609999656677246
2021-01-29,10.609999656677246
2021-02-01,10.609999656677246
2021-02-02,10.729999542236328
2021-02-03,11.0
2021-02-04,11.100000381469727
2021-02-05,12.180000305175781
2021-02-08,12.199999809265137
2021-02-09,12.09000015258789
2021-02-10,11.039999961853027
2021-02-11,11.779999732971191
2021-02-12,11.960000038146973
2021-02-16,11.760000228881836
2021-02-17,11.819999694824219
2021-02-18,11.829999923706055
2021-02-19,11.668000221252441
2021-02-22,11.668000221252441
2021-02-23,11.390000343322754
2021-02-24,11.600000381469727
2021-02-25,10.869999885559082
2021-02-26,11.390000343322754
2021-03-01,11.430000305175781
2021-03-02,11.069999694824219
2021-03-03,10.979999542236328
2021-03-04,10.699999809265137
2021-03-05,10.75
2021-03-08,10.75
2021-03-09,10.789999961853027
2021-03-10,10.800000190734863
2021-03-11,10.800000190734863
2021-03-12,10.899999618530273
2021-03-15,10.539999961853027
2021-03-16,10.675000190734863
2021-03-17,10.6899995803833
2021-03-18,10.699999809265137
2021-03-19,10.6899995803833
2021-03-22,10.989999771118164
2021-03-23,10.989999771118164
2021-03-24,11.0
2021-03-25,11.0
2021-03-26,10.461999893188477
2021-03-29,10.5600004196167
2021-03-30,10.392000198364258
2021-03-31,10.300000190734863
2021-04-01,10.569999694824219
2021-04-05,10.687999725341797
2021-04-06,10.75
2021-04-07,10.75
2021-04-08,10.75
2021-04-09,10.75
2021-04-12,11.510000228881836
2021-04-13,11.510000228881836
2021-04-14,11.510000228881836
2021-04-15,11.510000228881836
2021-04-16,11.510000228881836
2021-04-19,11.100000381469727
2021-04-20,10.300000190734863
2021-04-21,10.5
2021-04-22,10.5
2021-04-23,10.350000381469727
2021-04-26,10.329999923706055
2021-04-27,10.350000381469727
2021-04-28,10.350000381469727
2021-04-29,10.210000038146973
2021-04-30,10.149999618530273
2021-05-03,10.274999618530273
2021-05-04,10.34000015258789
2021-05-05,10.34000015258789
2021-05-06,10.100000381469727
2021-05-07,10.152999877929688
2021-05-10,10.152999877929688
2021-05-11,10.319000244140625
2021-05-12,10.319000244140625
2021-05-13,10.319000244140625
2021-05-14,10.100000381469727
