,AQST
2018-07-25,16.049999237060547
2018-07-26,15.850000381469727
2018-07-27,15.180000305175781
2018-07-30,15.0600004196167
2018-07-31,15.039999961853027
2018-08-01,15.100000381469727
2018-08-02,15.020000457763672
2018-08-03,15.010000228881836
2018-08-06,15.0
2018-08-07,15.010000228881836
2018-08-08,15.0600004196167
2018-08-09,15.0600004196167
2018-08-10,15.680000305175781
2018-08-13,16.170000076293945
2018-08-14,16.530000686645508
2018-08-15,16.459999084472656
2018-08-16,16.100000381469727
2018-08-17,16.0
2018-08-20,15.960000038146973
2018-08-21,15.84000015258789
2018-08-22,15.970000267028809
2018-08-23,15.930000305175781
2018-08-24,15.729999542236328
2018-08-27,15.510000228881836
2018-08-28,16.020000457763672
2018-08-29,16.899999618530273
2018-08-30,17.18000030517578
2018-08-31,18.010000228881836
2018-09-04,17.889999389648438
2018-09-05,17.959999084472656
2018-09-06,18.8799991607666
2018-09-07,18.959999084472656
2018-09-10,18.670000076293945
2018-09-11,18.280000686645508
2018-09-12,18.469999313354492
2018-09-13,18.309999465942383
2018-09-14,16.520000457763672
2018-09-17,16.530000686645508
2018-09-18,16.06999969482422
2018-09-19,16.3799991607666
2018-09-20,16.309999465942383
2018-09-21,16.329999923706055
2018-09-24,17.15999984741211
2018-09-25,17.5
2018-09-26,17.190000534057617
2018-09-27,17.309999465942383
2018-09-28,17.510000228881836
2018-10-01,17.309999465942383
2018-10-02,17.899999618530273
2018-10-03,17.850000381469727
2018-10-04,16.6200008392334
2018-10-05,16.139999389648438
2018-10-08,15.779999732971191
2018-10-09,14.800000190734863
2018-10-10,14.420000076293945
2018-10-11,14.039999961853027
2018-10-12,14.899999618530273
2018-10-15,15.09000015258789
2018-10-16,15.460000038146973
2018-10-17,15.920000076293945
2018-10-18,15.520000457763672
2018-10-19,14.359999656677246
2018-10-22,14.109999656677246
2018-10-23,14.739999771118164
2018-10-24,14.779999732971191
2018-10-25,14.800000190734863
2018-10-26,15.229999542236328
2018-10-29,14.609999656677246
2018-10-30,14.869999885559082
2018-10-31,15.130000114440918
2018-11-01,15.239999771118164
2018-11-02,17.329999923706055
2018-11-05,17.75
2018-11-06,17.549999237060547
2018-11-07,17.90999984741211
2018-11-08,18.0
2018-11-09,17.0
2018-11-12,16.6299991607666
2018-11-13,17.219999313354492
2018-11-14,16.8799991607666
2018-11-15,16.809999465942383
2018-11-16,16.860000610351562
2018-11-19,16.350000381469727
2018-11-20,13.1899995803833
2018-11-21,10.220000267028809
2018-11-23,10.199999809265137
2018-11-26,10.850000381469727
2018-11-27,9.3100004196167
2018-11-28,8.949999809265137
2018-11-29,8.84000015258789
2018-11-30,8.59000015258789
2018-12-03,8.15999984741211
2018-12-04,7.550000190734863
2018-12-06,8.75
2018-12-07,8.25
2018-12-10,8.300000190734863
2018-12-11,8.579999923706055
2018-12-12,7.889999866485596
2018-12-13,7.980000019073486
2018-12-14,7.389999866485596
2018-12-17,7.300000190734863
2018-12-18,6.809999942779541
2018-12-19,6.900000095367432
2018-12-20,6.900000095367432
2018-12-21,6.510000228881836
2018-12-24,6.53000020980835
2018-12-26,6.840000152587891
2018-12-27,6.090000152587891
2018-12-28,6.159999847412109
2018-12-31,6.300000190734863
2019-01-02,7.179999828338623
2019-01-03,7.139999866485596
2019-01-04,7.960000038146973
2019-01-07,7.96999979019165
2019-01-08,7.900000095367432
2019-01-09,7.980000019073486
2019-01-10,7.539999961853027
2019-01-11,7.46999979019165
2019-01-14,7.46999979019165
2019-01-15,7.679999828338623
2019-01-16,7.650000095367432
2019-01-17,7.739999771118164
2019-01-18,6.920000076293945
2019-01-22,7.559999942779541
2019-01-23,7.679999828338623
2019-01-24,7.724999904632568
2019-01-25,7.920000076293945
2019-01-28,7.980000019073486
2019-01-29,7.679999828338623
2019-01-30,7.150000095367432
2019-01-31,6.130000114440918
2019-02-01,6.039999961853027
2019-02-04,5.880000114440918
2019-02-05,5.980000019073486
2019-02-06,5.949999809265137
2019-02-07,6.019999980926514
2019-02-08,6.190000057220459
2019-02-11,5.900000095367432
2019-02-12,6.03000020980835
2019-02-13,6.130000114440918
2019-02-14,6.409999847412109
2019-02-15,6.659999847412109
2019-02-19,6.579999923706055
2019-02-20,6.309999942779541
2019-02-21,5.739999771118164
2019-02-22,6.480000019073486
2019-02-25,7.179999828338623
2019-02-26,7.75
2019-02-27,8.039999961853027
2019-02-28,8.050000190734863
2019-03-01,7.429999828338623
2019-03-04,7.139999866485596
2019-03-05,7.5
2019-03-06,7.5
2019-03-07,7.400000095367432
2019-03-08,7.5
2019-03-11,7.769999980926514
2019-03-12,7.46999979019165
2019-03-13,7.579999923706055
2019-03-14,6.369999885559082
2019-03-15,6.489999771118164
2019-03-18,6.889999866485596
2019-03-19,6.949999809265137
2019-03-20,6.980000019073486
2019-03-21,6.949999809265137
2019-03-22,6.21999979019165
2019-03-25,6.159999847412109
2019-03-26,6.130000114440918
2019-03-27,6.119999885559082
2019-03-28,6.139999866485596
2019-03-29,6.909999847412109
2019-04-01,6.710000038146973
2019-04-02,6.949999809265137
2019-04-03,6.78000020980835
2019-04-04,6.829999923706055
2019-04-05,6.550000190734863
2019-04-08,6.579999923706055
2019-04-09,6.309999942779541
2019-04-10,6.28000020980835
2019-04-11,6.179999828338623
2019-04-12,6.159999847412109
2019-04-15,6.039999961853027
2019-04-16,6.119999885559082
2019-04-17,6.239999771118164
2019-04-18,6.289999961853027
2019-04-22,6.230000019073486
2019-04-23,6.150000095367432
2019-04-24,5.900000095367432
2019-04-25,5.599999904632568
2019-04-26,5.5
2019-04-29,5.78000020980835
2019-04-30,5.710000038146973
2019-05-01,5.579999923706055
2019-05-02,5.650000095367432
2019-05-03,5.849999904632568
2019-05-06,5.809999942779541
2019-05-07,5.449999809265137
2019-05-08,4.519999980926514
2019-05-09,4.829999923706055
2019-05-10,5.039999961853027
2019-05-13,4.639999866485596
2019-05-14,4.920000076293945
2019-05-15,5.349999904632568
2019-05-16,5.110000133514404
2019-05-17,5.050000190734863
2019-05-20,5.380000114440918
2019-05-21,4.880000114440918
2019-05-22,4.619999885559082
2019-05-23,4.510000228881836
2019-05-24,4.230000019073486
2019-05-28,4.059999942779541
2019-05-29,3.9800000190734863
2019-05-30,4.03000020980835
2019-05-31,3.7200000286102295
2019-06-03,4.110000133514404
2019-06-04,4.289999961853027
2019-06-05,4.079999923706055
2019-06-06,4.0
2019-06-07,3.819999933242798
2019-06-10,4.099999904632568
2019-06-11,4.199999809265137
2019-06-12,4.190000057220459
2019-06-13,4.380000114440918
2019-06-14,4.190000057220459
2019-06-17,4.559999942779541
2019-06-18,4.78000020980835
2019-06-19,4.809999942779541
2019-06-20,4.269999980926514
2019-06-21,4.21999979019165
2019-06-24,4.03000020980835
2019-06-25,4.199999809265137
2019-06-26,3.940000057220459
2019-06-27,4.090000152587891
2019-06-28,4.199999809265137
2019-07-01,4.210000038146973
2019-07-02,4.239999771118164
2019-07-03,4.590000152587891
2019-07-05,4.909999847412109
2019-07-08,4.71999979019165
2019-07-09,4.800000190734863
2019-07-10,4.289999961853027
2019-07-11,4.300000190734863
2019-07-12,4.289999961853027
2019-07-15,4.150000095367432
2019-07-16,4.269999980926514
2019-07-17,4.130000114440918
2019-07-18,4.119999885559082
2019-07-19,4.110000133514404
2019-07-22,3.819999933242798
2019-07-23,3.809999942779541
2019-07-24,3.869999885559082
2019-07-25,3.5999999046325684
2019-07-26,3.6500000953674316
2019-07-29,3.559999942779541
2019-07-30,3.4800000190734863
2019-07-31,3.4100000858306885
2019-08-01,3.259999990463257
2019-08-02,3.309999942779541
2019-08-05,3.130000114440918
2019-08-06,3.1500000953674316
2019-08-07,3.5199999809265137
2019-08-08,3.869999885559082
2019-08-09,3.8399999141693115
2019-08-12,3.990000009536743
2019-08-13,3.9100000858306885
2019-08-14,3.5299999713897705
2019-08-15,3.5199999809265137
2019-08-16,3.809999942779541
