,ACQRU
2021-03-09,10.0
2021-03-10,10.069999694824219
2021-03-11,10.109999656677246
2021-03-12,10.119999885559082
2021-03-15,10.199999809265137
2021-03-16,10.199999809265137
2021-03-17,10.140000343322754
2021-03-18,9.979999542236328
2021-03-19,10.079999923706055
2021-03-22,10.09000015258789
2021-03-23,10.079999923706055
2021-03-24,10.029999732971191
2021-03-25,9.9399995803833
2021-03-26,10.024999618530273
2021-03-29,10.050000190734863
2021-03-30,9.989999771118164
2021-03-31,10.0
2021-04-01,10.050000190734863
2021-04-05,9.989999771118164
2021-04-06,9.989999771118164
2021-04-07,10.0
2021-04-08,10.069999694824219
2021-04-09,10.0600004196167
2021-04-12,10.149999618530273
2021-04-13,10.100000381469727
2021-04-14,10.149999618530273
2021-04-15,10.163000106811523
2021-04-16,10.15999984741211
2021-04-19,10.069999694824219
2021-04-20,10.050000190734863
2021-04-21,10.039999961853027
2021-04-22,10.029999732971191
2021-04-23,10.024999618530273
2021-04-26,10.020000457763672
2021-04-27,10.029999732971191
2021-04-28,10.085000038146973
2021-04-29,10.050000190734863
2021-04-30,10.0649995803833
2021-05-03,10.0600004196167
2021-05-04,10.1899995803833
2021-05-05,10.024999618530273
2021-05-06,10.039999961853027
2021-05-07,10.029999732971191
2021-05-10,10.010000228881836
2021-05-11,9.970000267028809
2021-05-12,9.970000267028809
2021-05-13,9.989999771118164
2021-05-14,9.979999542236328
