,DFPH
2020-06-04,9.699999809265137
2020-06-05,9.84000015258789
2020-06-08,9.699999809265137
2020-06-09,9.699999809265137
2020-06-10,9.75
2020-06-11,9.760000228881836
2020-06-12,9.760000228881836
2020-06-15,9.760000228881836
2020-06-16,9.760000228881836
2020-06-17,9.760000228881836
2020-06-18,9.979999542236328
2020-06-19,9.932000160217285
2020-06-22,9.979999542236328
2020-06-23,10.010000228881836
2020-06-24,10.170000076293945
2020-06-25,9.970000267028809
2020-06-26,9.970000267028809
2020-06-29,10.100000381469727
2020-06-30,10.050000190734863
2020-07-01,10.600000381469727
2020-07-02,10.821999549865723
2020-07-06,10.800000190734863
2020-07-07,10.779999732971191
2020-07-08,10.53499984741211
2020-07-09,10.800000190734863
2020-07-10,10.899999618530273
2020-07-13,10.880000114440918
2020-07-14,10.8100004196167
2020-07-15,10.8100004196167
2020-07-16,10.699999809265137
2020-07-17,10.800000190734863
2020-07-20,10.800000190734863
2020-07-21,10.789999961853027
2020-07-22,10.789999961853027
2020-07-23,10.5
2020-07-24,10.489999771118164
2020-07-27,10.489999771118164
2020-07-28,10.390000343322754
2020-07-29,10.390000343322754
2020-07-30,10.3100004196167
2020-07-31,10.170000076293945
2020-08-03,10.149999618530273
2020-08-04,10.375
2020-08-05,10.420000076293945
2020-08-06,10.449999809265137
2020-08-07,10.399999618530273
2020-08-10,10.420000076293945
2020-08-11,10.350000381469727
2020-08-12,10.399999618530273
2020-08-13,10.354999542236328
2020-08-14,10.210000038146973
2020-08-17,10.210000038146973
2020-08-18,10.180000305175781
2020-08-19,10.125
2020-08-20,10.100000381469727
2020-08-21,10.149999618530273
2020-08-24,10.1899995803833
2020-08-25,10.100000381469727
2020-08-26,10.100000381469727
2020-08-27,10.149999618530273
2020-08-28,10.100000381469727
2020-08-31,10.170000076293945
2020-09-01,10.100000381469727
2020-09-02,10.109999656677246
2020-09-03,10.109999656677246
2020-09-04,10.149999618530273
2020-09-08,10.149999618530273
2020-09-09,10.170000076293945
2020-09-10,10.170000076293945
2020-09-11,10.15999984741211
2020-09-14,10.119999885559082
2020-09-15,10.194999694824219
2020-09-16,10.199999809265137
2020-09-17,10.279999732971191
2020-09-18,10.310999870300293
2020-09-21,10.4399995803833
2020-09-22,10.479999542236328
2020-09-23,10.479999542236328
2020-09-24,10.479999542236328
2020-09-25,10.460000038146973
2020-09-28,10.460000038146973
2020-09-29,10.380000114440918
2020-09-30,10.380000114440918
2020-10-01,10.380000114440918
2020-10-02,10.300000190734863
2020-10-05,10.300000190734863
2020-10-06,10.300000190734863
2020-10-07,10.25
2020-10-08,10.25
2020-10-09,10.25
2020-10-12,10.25
2020-10-13,10.199999809265137
2020-10-14,10.210000038146973
2020-10-15,10.199999809265137
2020-10-16,10.199999809265137
2020-10-19,10.119999885559082
2020-10-20,10.149999618530273
2020-10-21,10.152000427246094
2020-10-22,10.149999618530273
2020-10-23,10.100000381469727
2020-10-26,10.079999923706055
2020-10-27,10.100000381469727
2020-10-28,10.09000015258789
2020-10-29,10.100000381469727
2020-10-30,10.100000381469727
2020-11-02,10.050000190734863
2020-11-03,10.130000114440918
2020-11-04,10.149999618530273
2020-11-05,10.149999618530273
2020-11-06,10.020000457763672
2020-11-09,10.149999618530273
2020-11-10,10.149999618530273
2020-11-11,10.07800006866455
2020-11-12,10.050000190734863
2020-11-13,10.050000190734863
2020-11-16,10.050000190734863
2020-11-17,10.050000190734863
2020-11-18,10.050000190734863
2020-11-19,10.079999923706055
2020-11-20,10.079999923706055
2020-11-23,10.100000381469727
2020-11-24,10.100000381469727
2020-11-25,10.100000381469727
2020-11-27,10.100000381469727
2020-11-30,10.100000381469727
2020-12-01,10.109999656677246
2020-12-02,10.15999984741211
2020-12-03,10.149999618530273
2020-12-04,10.380000114440918
2020-12-07,10.460000038146973
2020-12-08,10.380000114440918
2020-12-09,10.449999809265137
2020-12-10,10.368000030517578
2020-12-11,10.369999885559082
2020-12-14,10.319999694824219
2020-12-15,10.369999885559082
2020-12-16,10.449999809265137
2020-12-17,10.619999885559082
2020-12-18,10.760000228881836
2020-12-21,10.779999732971191
2020-12-22,10.710000038146973
2020-12-23,10.875
2020-12-24,10.800000190734863
2020-12-28,10.850000381469727
2020-12-29,10.869999885559082
2020-12-30,10.800000190734863
2020-12-31,10.800000190734863
2021-01-04,10.869999885559082
2021-01-05,10.930000305175781
2021-01-06,10.854999542236328
2021-01-07,10.885000228881836
2021-01-08,10.8100004196167
2021-01-11,10.850000381469727
2021-01-12,10.84000015258789
2021-01-13,11.199999809265137
2021-01-14,11.199999809265137
2021-01-15,11.020000457763672
2021-01-19,11.0
2021-01-20,10.920000076293945
2021-01-21,10.920000076293945
2021-01-22,11.050000190734863
2021-01-25,11.050000190734863
2021-01-26,11.109999656677246
2021-01-27,10.699999809265137
2021-01-28,10.8100004196167
2021-01-29,10.8100004196167
2021-02-01,10.699999809265137
2021-02-02,10.850000381469727
2021-02-03,10.720000267028809
2021-02-04,10.850000381469727
2021-02-05,10.760000228881836
2021-02-08,10.829999923706055
2021-02-09,10.989999771118164
2021-02-10,10.869999885559082
2021-02-11,10.850000381469727
2021-02-12,10.75
2021-02-16,10.960000038146973
2021-02-17,10.994999885559082
2021-02-18,11.109999656677246
2021-02-19,11.289999961853027
2021-02-22,11.170000076293945
2021-02-23,10.850000381469727
2021-02-24,11.229999542236328
2021-02-25,10.84000015258789
2021-02-26,10.90999984741211
2021-03-01,10.899999618530273
2021-03-02,10.390000343322754
2021-03-03,10.359999656677246
2021-03-04,10.149999618530273
2021-03-05,10.199999809265137
2021-03-08,10.15999984741211
2021-03-09,10.119999885559082
2021-03-10,10.170000076293945
2021-03-11,10.399999618530273
2021-03-12,10.130000114440918
2021-03-15,10.15999984741211
2021-03-16,10.130000114440918
2021-03-17,10.050000190734863
2021-03-18,10.399999618530273
2021-03-19,10.229999542236328
2021-03-22,10.140000343322754
2021-03-23,10.100000381469727
2021-03-24,10.050000190734863
2021-03-25,10.0
2021-03-26,9.949999809265137
2021-03-29,9.949999809265137
2021-03-30,9.975000381469727
2021-03-31,9.960000038146973
2021-04-01,10.055000305175781
2021-04-05,10.0
2021-04-06,10.25
2021-04-07,10.109999656677246
2021-04-08,10.15999984741211
2021-04-09,10.079999923706055
2021-04-12,10.15999984741211
2021-04-13,10.149999618530273
2021-04-14,10.170000076293945
2021-04-15,10.149999618530273
2021-04-16,10.100000381469727
2021-04-19,10.140000343322754
2021-04-20,10.180000305175781
2021-04-21,10.15999984741211
2021-04-22,10.170000076293945
2021-04-23,10.170000076293945
2021-04-26,10.149999618530273
2021-04-27,10.180000305175781
2021-04-28,10.119999885559082
2021-04-29,10.180000305175781
2021-04-30,10.140000343322754
2021-05-03,10.180000305175781
2021-05-04,10.289999961853027
2021-05-05,10.15999984741211
2021-05-06,10.119999885559082
2021-05-07,10.039999961853027
2021-05-10,10.00100040435791
2021-05-11,10.050000190734863
2021-05-12,9.970000267028809
2021-05-13,9.970000267028809
2021-05-14,10.0
