,CURI
2020-01-08,10.0
2020-01-09,9.899999618530273
2020-01-10,9.899999618530273
2020-01-13,9.9399995803833
2020-01-14,9.9399995803833
2020-01-15,9.9399995803833
2020-01-16,9.9399995803833
2020-01-17,9.875
2020-01-21,9.875
2020-01-22,9.875
2020-01-23,9.9399995803833
2020-01-24,9.9399995803833
2020-01-27,9.880000114440918
2020-01-28,9.899999618530273
2020-01-29,9.899999618530273
2020-01-30,9.899999618530273
2020-01-31,9.899999618530273
2020-02-03,9.90999984741211
2020-02-04,9.920000076293945
2020-02-05,9.920000076293945
2020-02-06,9.9350004196167
2020-02-07,9.9399995803833
2020-02-10,9.967000007629395
2020-02-11,9.984000205993652
2020-02-12,9.984000205993652
2020-02-13,9.984000205993652
2020-02-14,9.984000205993652
2020-02-18,9.984000205993652
2020-02-19,9.984000205993652
2020-02-20,9.960000038146973
2020-02-21,9.9399995803833
2020-02-24,9.930000305175781
2020-02-25,9.930000305175781
2020-02-26,9.930000305175781
2020-02-27,9.920000076293945
2020-02-28,9.899999618530273
2020-03-02,10.0
2020-03-03,9.899999618530273
2020-03-04,9.899999618530273
2020-03-05,9.949999809265137
2020-03-06,9.984000205993652
2020-03-09,9.70199966430664
2020-03-10,9.899999618530273
2020-03-11,9.899999618530273
2020-03-12,9.75
2020-03-13,9.720000267028809
2020-03-16,9.720000267028809
2020-03-17,9.600000381469727
2020-03-18,9.649999618530273
2020-03-19,9.649999618530273
2020-03-20,9.649999618530273
2020-03-23,9.489999771118164
2020-03-24,9.510000228881836
2020-03-25,9.510000228881836
2020-03-26,9.625
2020-03-27,9.949999809265137
2020-03-30,9.949999809265137
2020-03-31,9.8100004196167
2020-04-01,9.800000190734863
2020-04-02,9.800000190734863
2020-04-03,9.680000305175781
2020-04-06,9.725000381469727
2020-04-07,9.725000381469727
2020-04-08,9.729999542236328
2020-04-09,9.729999542236328
2020-04-13,9.75
2020-04-14,9.75
2020-04-15,9.75
2020-04-16,9.75
2020-04-17,9.779999732971191
2020-04-20,9.760000228881836
2020-04-21,9.760000228881836
2020-04-22,9.850000381469727
2020-04-23,9.800000190734863
2020-04-24,9.949999809265137
2020-04-27,9.949999809265137
2020-04-28,9.949999809265137
2020-04-29,9.949999809265137
2020-04-30,9.949999809265137
2020-05-01,9.800000190734863
2020-05-04,9.800000190734863
2020-05-05,9.779999732971191
2020-05-06,9.75
2020-05-07,9.75
2020-05-08,9.75
2020-05-11,9.75
2020-05-12,9.75
2020-05-13,9.6899995803833
2020-05-14,9.699999809265137
2020-05-15,9.800000190734863
2020-05-18,9.800000190734863
2020-05-19,9.800000190734863
2020-05-20,9.800000190734863
2020-05-21,9.788999557495117
2020-05-22,9.788999557495117
2020-05-26,9.800000190734863
2020-05-27,9.800000190734863
2020-05-28,9.800000190734863
2020-05-29,9.779999732971191
2020-06-01,9.779999732971191
2020-06-02,9.800000190734863
2020-06-03,9.75
2020-06-04,9.75
2020-06-05,9.75
2020-06-08,9.75
2020-06-09,9.949999809265137
2020-06-10,9.859999656677246
2020-06-11,9.850000381469727
2020-06-12,9.854999542236328
2020-06-15,9.854999542236328
2020-06-16,9.899999618530273
2020-06-17,9.899999618530273
2020-06-18,9.901000022888184
2020-06-19,9.899999618530273
2020-06-22,9.949999809265137
2020-06-23,10.0
2020-06-24,9.989999771118164
2020-06-25,9.989999771118164
2020-06-26,10.0
2020-06-29,10.020000457763672
2020-06-30,10.050000190734863
2020-07-01,10.020000457763672
2020-07-02,9.979999542236328
2020-07-06,10.069999694824219
2020-07-07,10.04800033569336
2020-07-08,10.04800033569336
2020-07-09,10.04800033569336
2020-07-10,10.029999732971191
2020-07-13,10.069999694824219
2020-07-14,10.149999618530273
2020-07-15,10.149999618530273
2020-07-16,10.149999618530273
2020-07-17,10.149999618530273
2020-07-20,10.15999984741211
2020-07-21,10.279999732971191
2020-07-22,10.4399995803833
2020-07-23,10.399999618530273
2020-07-24,10.220000267028809
2020-07-27,10.399999618530273
2020-07-28,10.399999618530273
2020-07-29,10.350000381469727
2020-07-30,10.229999542236328
2020-07-31,10.100000381469727
2020-08-03,10.109999656677246
2020-08-04,10.229999542236328
2020-08-05,10.229999542236328
2020-08-06,10.229999542236328
2020-08-07,10.130000114440918
2020-08-10,10.130000114440918
2020-08-11,10.09000015258789
2020-08-12,10.079999923706055
2020-08-13,10.069999694824219
2020-08-14,10.050000190734863
2020-08-17,10.0600004196167
2020-08-18,10.020000457763672
2020-08-19,10.0
2020-08-20,9.979999542236328
2020-08-21,9.979999542236328
2020-08-24,10.010000228881836
2020-08-25,10.010000228881836
2020-08-26,9.989999771118164
2020-08-27,9.996999740600586
2020-08-28,9.984999656677246
2020-08-31,9.949999809265137
2020-09-01,9.949999809265137
2020-09-02,10.0
2020-09-03,10.010000228881836
2020-09-04,9.989999771118164
2020-09-08,10.010000228881836
2020-09-09,9.989999771118164
2020-09-10,9.984999656677246
2020-09-11,9.989999771118164
2020-09-14,9.989999771118164
2020-09-15,10.0
2020-09-16,9.989999771118164
2020-09-17,10.0
2020-09-18,10.0
2020-09-21,9.989999771118164
2020-09-22,9.979999542236328
2020-09-23,9.960000038146973
2020-09-24,9.949999809265137
2020-09-25,9.949999809265137
2020-09-28,9.970000267028809
2020-09-29,9.979999542236328
2020-09-30,9.960000038146973
2020-10-01,9.9399995803833
2020-10-02,9.949999809265137
2020-10-05,10.0
2020-10-06,10.010000228881836
2020-10-07,10.029999732971191
